"program_key","primary_school","difficulty_level","duration","program_title","generic_program_title","part_title","generic_part_title","part_summary","lesson_title","generic_lesson_title","lesson_summary","locale"
"nd083","Business","Beginner","1 Months","Digital Freelancer","Digital Freelancer","Managing Freelancing Projects","Managing Freelancing Projects","This course will prepare you for managing freelancing projects, from sourcing clients through project completion and payment.","Creating a Process to Source Clients","Creating a Process to Source Clients","This lesson will help you source clients for your digital freelancing business, including using freelancing platforms and social media and sending expressions of interest.","en-us"
"nd064","Cloud Computing","Intermediate","4 Months","Cloud Native Application Architecture","Cloud Native Application Architecture","Cloud Native Fundamentals","Cloud Native Fundamentals","Throughout this course, students will learn how to structure, package, and release an application to a Kubernetes cluster, while using an automated CI/CD pipeline.","Container Orchestration with Kubernetes","Container Orchestration with Kubernetes","In this lesson, you will learn how to use Docker to create an image and how to deploy an application to Kubernetes.","en-us"
"cs271","Artificial Intelligence","Intermediate","4 Months","Intro to Artificial Intelligence","Intro to Artificial Intelligence","Intro to Artificial Intelligence","Intro to Artificial Intelligence","","Problem Set 4","Problem Set 4","","en-us"
"nd320","Artificial Intelligence","Advanced","4 Months","AI for Healthcare","AI for Healthcare","Applying AI to Wearable Device Data","Applying AI to Wearable Device Data","","Intro to Digital Sampling & Signal Processing","Intro to Digital Sampling & Signal Processing","A brief tour through sampling theory, signal processing, the Fourier transform, and other related topics. We’ll briefly cover some plotting and visualization techniques here as well.","en-us"
"cs291","Programming and Development","","2 Months","Interactive 3D Graphics","Interactive 3D Graphics","Interactive 3D Graphics","Interactive 3D Graphics","","Colors and Materials","Colors and Materials","","en-us"
"cd14197","Artificial Intelligence","Discovery","","Discovering Generative AI","Discovering Generative AI","Discovering Generative AI","Discovering Generative AI","Learners will discover the core concepts of Generative AI and how it works across a variety of fields. This course breaks down the often complex technology into digestible content, emphasizing real-world examples and non-technical applications. Learners will also explore the ethical considerations of using AI and gain insight into how they might use generative AI in their own work and lives.","Discovering Generative AI","Discovering Generative AI","Learners will discover the core concepts of Generative AI. Learners will also explore ethical considerations of using AI and gain insight into how they can use generative AI in their work and lives.","en-us"
"cd1821","Artificial Intelligence","Intermediate","","Convolutional Neural Networks","Convolutional Neural Networks","Convolutional Neural Networks","Convolutional Neural Networks","This course introduces Convolutional Neural Networks, the most widely used type of neural networks specialized in image processing. You will learn the main characteristics of CNNs that make them so useful for image processing, their inner workings, and how to build them from scratch to complete image classification tasks. You will learn what are the most successful CNN architectures, and what are their main characteristics. You will apply these architectures to custom datasets using transfer learning. You will also learn about autoencoders, a very important architecture at the basis of many modern CNNs, and how to use them for anomaly detection as well as image denoising. Finally, you will learn how to use CNNs for object detection and semantic segmentation.","CNN Concepts","CNN Concepts","In this lesson we will recap how to use a Multi-Layer Perceptron for image classification, understand the limitations of this approach, and learn how CNNs can overcome these limitations.","en-us"
"ud942","Business","","1 Hours","Managing a Remote Workforce","Managing a Remote Workforce","Managing a Remote Workforce","Managing a Remote Workforce","","Managing a Remote Workforce","Managing a Remote Workforce","This course, developed in partnership between Upwork and Udacity,  provides valuable insights for managers needing to build, manage, and lead remote teams for their organizations.","en-us"
"cd12744","Autonomous Systems","Beginner","","DC Motors & Encoders","DC Motors & Encoders","DC Motors & Encoders","DC Motors & Encoders","In this course, you will explore Embedded Systems, delving into direct current motors, encoders, reading rotary encoders, and mastering servo motors. You will also gain practical knowledge in controlling motors, understanding encoder feedback, interpreting rotary encoder signals, and effectively utilizing servo motors.","Servo Motors","Servo Motors","In this lesson you will learn all about servo motors, starting from the internals, checking the difference between DC and Servo motors, importance, overview on how to control them and applications.","en-us"
"nd003","Programming and Development","Intermediate","6 Months","iOS Development with SwiftUI and SwiftData","iOS Developer","iOS Application Data with SwiftData","iOS Application Data with SwiftData","In this course, you'll master data management and persistence in iOS 17+ using Swift, SwiftUI, and SwiftData. You will start with the basics of creating views and managing state with @State, @Binding, and @EnvironmentObject. As you progress, you'll learn to define data models and schemas, implement CRUD operations, and manage related data. Advanced topics include data migrations for managing data models. Through hands-on exercises and real-world examples, you'll build several data-driven iOS applications.","SwiftData Model Relationships","SwiftData Model Relationships","Explore SwiftData's model relationships, including one-to-one, one-to-many, and many-to-many relationships, and learn to create, query, and delete related data.","en-us"
"cd0692","Business","Beginner","","Social Media Marketing","Social Media Marketing","Social Media Marketing","Social Media Marketing","Social Media is a powerful channel for marketers.  In this course, you learn more about the main social media platforms, how to manage your social media presence, leveraging organic and paid to advertise, and creating effective content for each platform.","Introduction to Facebook-Meta Ads","Introduction to Facebook-Meta Ads","Facebook is a powerful social media platform with a massive audience worldwide. Gain hands on experience by setting up your Facebook advertising account and explore campaign objectives. 
","en-us"
"cd0354","Cloud Computing","Intermediate","","Monolith to Microservices at Scale","Monolith to Microservices at Scale","Monolith to Microservices at Scale","Monolith to Microservices at Scale","Microservices are becoming the default mode of developing and deploying applications at scale. Microservices architecture makes it easier to scale an application to a large system and is a great enabler for continuous integration and delivery. The microservices architecture allows independent scaling, independent releases and deployments, and independent development so that each service has its own codebase. In this course, we will cover the best practices on how to develop and deploy microservices. You will learn topics such as different microservice architecture patterns, independent scaling, resiliency, service replication, service registration, and discovery. By the end of this course, you should be able to design and build an application using a microservice architecture.","Best Practices/Design Patterns for Kubernetes in Production","Best Practices/Design Patterns for Kubernetes in Production","In this lesson we'll learn some of the best practices for running your application in Kubernetes including logging, scale, and security","en-us"
